User_ID,Age,Education_Level,Goal,Preferred_Category,Subcategory,Course_Name,Rating
1,25,High School,Upskilling,Writing,Creative Writing,Writing Fiction,4.5
2,23,PhD,Job,Programming,Web Development,Complete Web Dev Bootcamp,3.5
3,19,Bachelors,Switching Career,Writing,Copywriting,Ad Copy Techniques,4.6
4,18,Bachelors,Switching Career,Language Learning,French,French for Travelers,3.4
5,39,High School,Job,Health & Fitness,Nutrition,Meal Planning,4.7
6,34,High School,Switching Career,Photography,DSLR Basics,Photography Composition,3.2
7,36,Masters,Freelancing,Business,Marketing,Digital Marketing 101,4.5
8,23,Bachelors,Job,Health & Fitness,Yoga,Advanced Yoga Poses,4.3
9,41,Bachelors,Upskilling,Language Learning,Spanish,Conversational Spanish,4.4
10,22,Bachelors,Freelancing,Design,Graphic Design,Illustrator Course,3.5
11,32,Masters,Job,Writing,Creative Writing,Short Story Writing,3.8
12,22,Bachelors,Upskilling,Writing,Content Writing,SEO Content Writing,3.8
13,47,Bachelors,Upskilling,Design,Canva,Designing with Canva,4.5
14,45,PhD,Upskilling,Writing,Creative Writing,Short Story Writing,3.2
15,21,High School,Freelancing,Design,Graphic Design,Photoshop Basics,3.8
16,47,Masters,Job,Business,Entrepreneurship,Business Planning,3.2
17,45,Bachelors,Switching Career,Programming,Machine Learning,Scikit-learn Basics,4.5
18,24,Masters,Freelancing,Design,UI/UX,UX Research,4.1
19,18,Masters,Switching Career,Programming,Web Development,HTML CSS JS Mastery,4.8
20,37,Bachelors,Job,Writing,Content Writing,Blog Writing,3.2
21,49,High School,Freelancing,Design,Graphic Design,Photoshop Basics,3.5
22,45,Bachelors,Freelancing,Personal Development,Leadership,Emotional Intelligence,3.9
23,46,High School,Freelancing,Writing,Creative Writing,Short Story Writing,3.0
24,32,Bachelors,Job,Business,Marketing,Digital Marketing 101,3.1
25,20,Masters,Job,Photography,DSLR Basics,Photography Composition,4.3
26,31,Bachelors,Switching Career,Writing,Copywriting,Ad Copy Techniques,3.4
27,24,PhD,Upskilling,Health & Fitness,Yoga,Advanced Yoga Poses,4.7
28,21,High School,Job,Health & Fitness,Mental Health,Mindfulness Meditation,4.6
29,24,Bachelors,Freelancing,Writing,Content Writing,SEO Content Writing,3.3
30,29,Masters,Switching Career,Writing,Creative Writing,Short Story Writing,4.6
31,24,High School,Job,Business,Finance,Personal Finance,3.8
32,48,Bachelors,Switching Career,Programming,App Development,React Native Guide,3.0
33,42,Masters,Switching Career,Personal Development,Leadership,Emotional Intelligence,3.3
34,36,Bachelors,Job,Engineering,Electrical,Power Engineering,3.1
35,48,Bachelors,Job,Photography,DSLR Basics,Camera Settings 101,3.1
36,22,Bachelors,Switching Career,Business,Finance,Personal Finance,4.2
37,44,Masters,Upskilling,Writing,Content Writing,SEO Content Writing,3.5
38,43,Bachelors,Upskilling,Music,Piano,Piano Lessons 101,3.0
39,24,High School,Freelancing,Photography,Photo Editing,Lightroom Editing,4.9
40,22,Bachelors,Upskilling,Personal Development,Productivity,Focus and Discipline,4.7
41,37,High School,Upskilling,Business,Finance,Investing Basics,3.2
42,24,Bachelors,Upskilling,Personal Development,Public Speaking,Speaking with Confidence,4.4
43,31,Masters,Switching Career,Personal Development,Productivity,Time Management,4.3
44,35,High School,Job,Language Learning,Spanish,Conversational Spanish,3.3
45,46,PhD,Job,Business,Marketing,Digital Marketing 101,4.1
46,41,Bachelors,Switching Career,Design,Figma,Figma for Teams,3.7
47,20,Masters,Freelancing,Writing,Content Writing,Blog Writing,3.7
48,44,Bachelors,Freelancing,Design,Canva,Designing with Canva,3.0
49,39,PhD,Freelancing,Personal Development,Productivity,Time Management,3.8
50,20,PhD,Freelancing,Writing,Copywriting,Ad Copy Techniques,3.6
51,32,Bachelors,Job,Writing,Copywriting,Ad Copy Techniques,3.6
52,22,Masters,Upskilling,Photography,Photo Editing,Photoshop for Photographers,4.9
53,25,Masters,Freelancing,Engineering,Civil,Structural Engineering,3.2
54,45,Masters,Upskilling,Health & Fitness,Mental Health,Managing Stress,3.8
55,30,Masters,Job,Health & Fitness,Nutrition,Healthy Eating,3.7
56,22,Masters,Upskilling,Business,Entrepreneurship,Business Planning,4.3
57,38,PhD,Upskilling,Photography,DSLR Basics,Camera Settings 101,3.8
58,42,Bachelors,Upskilling,Health & Fitness,Mental Health,Managing Stress,3.6
59,31,PhD,Upskilling,Music,Piano,Classical Piano,4.4
60,48,Bachelors,Job,Personal Development,Public Speaking,TED Talk Techniques,3.2
61,33,Masters,Freelancing,Writing,Creative Writing,Writing Fiction,3.1
62,48,High School,Switching Career,Health & Fitness,Mental Health,Managing Stress,4.4
63,42,PhD,Switching Career,Writing,Creative Writing,Writing Fiction,4.8
64,24,PhD,Freelancing,Design,Graphic Design,Photoshop Basics,4.1
65,25,PhD,Freelancing,Music,Music Theory,Advanced Harmony,4.9
66,46,PhD,Switching Career,Design,Graphic Design,Illustrator Course,3.5
67,33,Masters,Switching Career,Writing,Copywriting,Ad Copy Techniques,3.2
68,36,Bachelors,Upskilling,Language Learning,French,French for Travelers,3.3
69,32,PhD,Freelancing,Writing,Creative Writing,Short Story Writing,3.8
70,47,PhD,Job,Writing,Copywriting,Ad Copy Techniques,4.8
71,19,PhD,Switching Career,Programming,Machine Learning,Intro to TensorFlow,4.5
72,44,Bachelors,Switching Career,Writing,Copywriting,Ad Copy Techniques,4.0
73,42,Masters,Switching Career,Design,Graphic Design,Photoshop Basics,5.0
74,19,PhD,Job,Business,Management,Project Management,4.7
75,29,High School,Upskilling,Health & Fitness,Yoga,Beginner Yoga,3.9
76,39,PhD,Upskilling,Health & Fitness,Yoga,Beginner Yoga,3.9
77,21,Masters,Freelancing,Business,Marketing,Digital Marketing 101,4.9
78,30,High School,Freelancing,Writing,Creative Writing,Short Story Writing,4.3
79,31,PhD,Upskilling,Language Learning,Spanish,Beginner Spanish,4.6
80,28,Masters,Job,Engineering,Electrical,Power Engineering,4.2
81,42,PhD,Freelancing,Business,Finance,Personal Finance,4.4
82,37,High School,Job,Language Learning,German,Intermediate German,3.1
83,39,High School,Switching Career,Music,Guitar,Fingerstyle Guitar,4.9
84,47,Bachelors,Switching Career,Design,UI/UX,UI Design Principles,3.9
85,35,Masters,Freelancing,Business,Entrepreneurship,Business Planning,3.5
86,47,PhD,Upskilling,Programming,Data Science,Data Analysis with Pandas,3.4
87,31,Masters,Upskilling,Language Learning,French,Basic French A1,4.1
88,30,High School,Freelancing,Health & Fitness,Yoga,Beginner Yoga,4.4
89,49,PhD,Job,Business,Entrepreneurship,Startup Success,3.8
90,33,Masters,Upskilling,Music,Music Theory,Advanced Harmony,3.9
91,39,Masters,Switching Career,Personal Development,Leadership,Emotional Intelligence,3.5
92,30,Masters,Job,Photography,Lighting Techniques,Natural Lighting,3.4
93,48,Masters,Upskilling,Business,Finance,Investing Basics,3.5
94,29,Masters,Job,Photography,DSLR Basics,Photography Composition,3.1
95,21,Masters,Freelancing,Music,Guitar,Guitar for Beginners,4.1
96,48,PhD,Switching Career,Language Learning,Spanish,Beginner Spanish,3.5
97,48,High School,Job,Health & Fitness,Yoga,Beginner Yoga,4.2
98,21,Bachelors,Freelancing,Engineering,Civil,Structural Engineering,5.0
99,25,PhD,Freelancing,Photography,Photo Editing,Photoshop for Photographers,4.8
100,37,PhD,Upskilling,Engineering,Electrical,Circuits and Systems,4.9
101,31,Bachelors,Upskilling,Business,Finance,Personal Finance,3.3
102,22,Bachelors,Job,Health & Fitness,Yoga,Advanced Yoga Poses,3.6
103,32,Masters,Upskilling,Music,Guitar,Guitar for Beginners,4.8
104,30,PhD,Job,Photography,DSLR Basics,Camera Settings 101,4.8
105,27,High School,Job,Design,UI/UX,UI Design Principles,3.9
106,47,Masters,Switching Career,Personal Development,Public Speaking,TED Talk Techniques,3.9
107,20,PhD,Upskilling,Engineering,Civil,Structural Engineering,3.2
108,19,Masters,Job,Design,Graphic Design,Illustrator Course,4.8
109,29,PhD,Switching Career,Business,Management,Leadership Skills,3.8
110,38,High School,Freelancing,Language Learning,German,Intermediate German,3.6
111,43,High School,Switching Career,Business,Entrepreneurship,Business Planning,3.6
112,43,High School,Switching Career,Health & Fitness,Nutrition,Healthy Eating,4.0
113,49,PhD,Job,Writing,Copywriting,Sales Copy Mastery,4.9
114,46,PhD,Job,Programming,Cybersecurity,Ethical Hacking,4.4
115,37,High School,Switching Career,Business,Finance,Personal Finance,3.9
116,25,Bachelors,Switching Career,Personal Development,Public Speaking,TED Talk Techniques,3.8
117,48,PhD,Freelancing,Music,Music Theory,Music Theory Basics,3.8
118,26,High School,Upskilling,Health & Fitness,Yoga,Advanced Yoga Poses,4.6
119,36,Masters,Switching Career,Design,Graphic Design,Illustrator Course,3.7
120,42,PhD,Upskilling,Writing,Content Writing,Blog Writing,4.1
121,32,PhD,Job,Language Learning,German,Intermediate German,3.8
122,27,PhD,Job,Design,UI/UX,UX Research,4.7
123,46,High School,Switching Career,Programming,App Development,React Native Guide,4.7
124,27,High School,Switching Career,Personal Development,Leadership,Emotional Intelligence,4.3
125,39,PhD,Upskilling,Music,Music Theory,Music Theory Basics,4.2
126,33,Masters,Freelancing,Business,Management,Project Management,4.5
127,24,PhD,Freelancing,Personal Development,Productivity,Time Management,3.6
128,21,Masters,Upskilling,Language Learning,German,German Basics,3.5
129,44,Bachelors,Freelancing,Design,Figma,Figma for Teams,4.2
130,33,PhD,Freelancing,Writing,Copywriting,Ad Copy Techniques,3.9
131,18,PhD,Upskilling,Photography,DSLR Basics,Camera Settings 101,3.9
132,40,Masters,Switching Career,Personal Development,Leadership,Emotional Intelligence,3.4
133,42,PhD,Job,Writing,Copywriting,Ad Copy Techniques,4.1
134,36,High School,Switching Career,Personal Development,Productivity,Time Management,4.8
135,49,Masters,Freelancing,Engineering,Civil,Structural Engineering,4.3
136,34,Bachelors,Job,Programming,Machine Learning,Intro to TensorFlow,3.1
137,41,Bachelors,Job,Personal Development,Leadership,Emotional Intelligence,3.4
138,26,Masters,Upskilling,Design,UI/UX,UI Design Principles,4.9
139,36,Masters,Job,Music,Guitar,Guitar for Beginners,4.5
140,32,PhD,Upskilling,Business,Management,Project Management,3.5
141,25,PhD,Upskilling,Personal Development,Public Speaking,TED Talk Techniques,4.6
142,41,High School,Freelancing,Music,Guitar,Fingerstyle Guitar,4.8
143,32,High School,Switching Career,Personal Development,Public Speaking,TED Talk Techniques,3.2
144,20,High School,Upskilling,Music,Guitar,Guitar for Beginners,3.5
145,26,PhD,Switching Career,Language Learning,German,German Basics,4.8
146,24,PhD,Switching Career,Personal Development,Productivity,Focus and Discipline,3.4
147,46,Bachelors,Upskilling,Business,Entrepreneurship,Business Planning,3.1
148,35,Bachelors,Job,Music,Guitar,Guitar for Beginners,4.3
149,19,High School,Upskilling,Writing,Creative Writing,Writing Fiction,3.1
150,31,Bachelors,Freelancing,Language Learning,Spanish,Beginner Spanish,3.6
151,27,Bachelors,Upskilling,Design,Figma,Figma Masterclass,3.3
152,40,Bachelors,Upskilling,Programming,App Development,React Native Guide,3.1
153,44,High School,Job,Music,Piano,Classical Piano,4.0
154,24,PhD,Freelancing,Engineering,Electrical,Power Engineering,3.9
155,19,High School,Switching Career,Health & Fitness,Yoga,Beginner Yoga,4.0
156,46,High School,Job,Language Learning,Spanish,Beginner Spanish,3.3
157,38,PhD,Upskilling,Music,Music Theory,Advanced Harmony,3.2
158,25,Bachelors,Switching Career,Music,Guitar,Fingerstyle Guitar,3.7
159,47,PhD,Switching Career,Business,Entrepreneurship,Business Planning,3.6
160,34,Masters,Freelancing,Music,Guitar,Guitar for Beginners,4.7
161,23,PhD,Job,Language Learning,Spanish,Beginner Spanish,4.2
162,39,High School,Switching Career,Language Learning,German,German Basics,4.9
163,37,Masters,Job,Engineering,Mechanical,Thermodynamics,4.3
164,32,High School,Upskilling,Photography,Photo Editing,Lightroom Editing,4.5
165,32,PhD,Job,Engineering,Civil,Structural Engineering,3.4
166,37,Masters,Upskilling,Programming,App Development,Flutter Beginner,4.1
167,43,High School,Freelancing,Programming,Web Development,React Full Course,4.1
168,42,PhD,Switching Career,Language Learning,Spanish,Conversational Spanish,3.6
169,38,High School,Job,Design,Canva,Canva for Beginners,4.3
170,35,PhD,Switching Career,Music,Music Theory,Advanced Harmony,3.8
171,31,High School,Upskilling,Health & Fitness,Nutrition,Meal Planning,4.4
172,49,Masters,Job,Writing,Copywriting,Sales Copy Mastery,3.0
173,37,Bachelors,Freelancing,Personal Development,Leadership,Emotional Intelligence,3.2
174,49,PhD,Freelancing,Design,Graphic Design,Photoshop Basics,4.0
175,40,High School,Switching Career,Programming,Data Science,Python for Data Science,3.9
176,22,Masters,Switching Career,Engineering,Robotics,Building Arduino Robots,3.6
177,43,High School,Upskilling,Design,Graphic Design,Illustrator Course,3.2
178,24,Bachelors,Switching Career,Engineering,Robotics,Intro to Robotics,3.8
179,37,Masters,Freelancing,Language Learning,Spanish,Beginner Spanish,4.0
180,25,Bachelors,Upskilling,Language Learning,Spanish,Beginner Spanish,3.2
181,34,Bachelors,Freelancing,Engineering,Mechanical,Thermodynamics,3.4
182,49,PhD,Switching Career,Engineering,Civil,AutoCAD Civil,3.3
183,22,PhD,Switching Career,Personal Development,Leadership,Leadership in Teams,3.7
